,Store,Dept,Date,Weekly_Sales,IsHoliday,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,Type,Size,y,promotion,Month,Year,day,dayofweek
0,1,1,2010-02-05,24924.5,0,42.31,2.572,0.0,0.0,0.0,0.0,0.0,211.0963582,8.106,A,151315,24611.103102631852,0,2,2010,5,4
1,1,1,2010-02-12,46039.49,1,38.51,2.548,0.0,0.0,0.0,0.0,0.0,211.24216980000003,8.106,A,151315,23372.0553758315,0,2,2010,12,4
2,1,1,2010-02-19,41595.55,0,39.93,2.514,0.0,0.0,0.0,0.0,0.0,211.2891429,8.106,A,151315,22198.98622631304,0,2,2010,19,4
3,1,1,2010-02-26,19403.54,0,46.63,2.5610000000000004,0.0,0.0,0.0,0.0,0.0,211.3196429,8.106,A,151315,19748.284020461047,0,2,2010,26,4
4,1,1,2010-03-05,21827.9,0,46.5,2.625,0.0,0.0,0.0,0.0,0.0,211.3501429,8.106,A,151315,20719.29940037116,0,3,2010,5,4
5,1,1,2010-03-12,21043.39,0,57.79,2.667,0.0,0.0,0.0,0.0,0.0,211.3806429,8.106,A,151315,21460.38798414006,0,3,2010,12,4
6,1,1,2010-03-19,22136.64,0,54.58,2.72,0.0,0.0,0.0,0.0,0.0,211.215635,8.106,A,151315,31277.471295979136,0,3,2010,19,4
7,1,1,2010-03-26,26229.21,0,51.45,2.732,0.0,0.0,0.0,0.0,0.0,211.0180424,8.106,A,151315,38852.500744414814,0,3,2010,26,4
8,1,1,2010-04-02,57258.43,0,62.27,2.719,0.0,0.0,0.0,0.0,0.0,210.8204499,7.808,A,151315,47354.15039940833,0,4,2010,2,4
9,1,1,2010-04-09,42960.91,0,65.86,2.77,0.0,0.0,0.0,0.0,0.0,210.6228574,7.808,A,151315,42960.90999999998,0,4,2010,9,4
10,1,1,2010-04-16,17596.96,0,66.32,2.8080000000000003,0.0,0.0,0.0,0.0,0.0,210.4887,7.808,A,151315,34876.78147518393,0,4,2010,16,4
11,1,1,2010-04-23,16145.35,0,64.84,2.795,0.0,0.0,0.0,0.0,0.0,210.4391228,7.808,A,151315,26593.751848291104,0,4,2010,23,4
12,1,1,2010-04-30,16555.11,0,67.41,2.78,0.0,0.0,0.0,0.0,0.0,210.3895456,7.808,A,151315,16518.57575933842,0,4,2010,30,4
